STATUS, ITERATION, CLIENT, DATE, READY AFTER(MS), WATINGTIME(MS), ESTIMATED ACCESS AFTER(MS), ESTIMATED MAX DELAY(MS)
STATUS, connected, puppeteer_HL, 2024-07-24T12:40:52.029Z
STATUS, connected, puppeteer, 2024-07-24T12:40:54.962Z
STATUS, connected, OpenWPM, 2024-07-24T12:42:11.612Z
STATUS, connected, OpenWPM_HL, 2024-07-24T12:42:41.422Z
STATUS, ping, puppeteer_HL, 2024-07-24T12:42:41.423Z, 0.5
STATUS, ping, OpenWPM_HL, 2024-07-24T12:42:41.424Z, 1
STATUS, ping, OpenWPM, 2024-07-24T12:42:41.424Z, 1
STATUS, ping, puppeteer, 2024-07-24T12:42:41.425Z, 1.5
CRAWLED, url#1, puppeteer_HL, 2024-07-24T12:42:59.013Z, 1035, 0, 12295, 12295, 4805
CRAWLED, url#1, puppeteer, 2024-07-24T12:42:59.494Z, 2395, 0, 12776, 12776, 4805
CRAWLED, url#1, OpenWPM, 2024-07-24T12:42:54.691Z, 7965, 0, 7973, 7973, 4805
CRAWLED, url#1, OpenWPM_HL, 2024-07-24T12:42:54.689Z, 5987, 0, 7971, 7971, 4805
CRAWLED, url#2, puppeteer_HL, 2024-07-24T12:43:17.693Z, 1047, 0, -1, undefined, 6584
CRAWLED, url#2, puppeteer, 2024-07-24T12:43:17.693Z, 1405, 0, -1, undefined, 6584
CRAWLED, url#2, OpenWPM, 2024-07-24T12:43:24.277Z, 5658, 0, 6583, 6583, 6584
CRAWLED, url#2, OpenWPM_HL, 2024-07-24T12:43:23.791Z, 4390, 0, 6097, 6097, 6584
CRAWLED, url#3, puppeteer_HL, 2024-07-24T12:43:48.921Z, 686, 0, 11471, 11471, 5245
CRAWLED, url#3, puppeteer, 2024-07-24T12:43:48.978Z, 1162, 0, 11528, 11528, 5245
CRAWLED, url#3, OpenWPM, 2024-07-24T12:43:43.733Z, 5561, 0, 6283, 6283, 5245
CRAWLED, url#3, OpenWPM_HL, 2024-07-24T12:43:43.833Z, 4230, 0, 6383, 6383, 5245
CRAWLED, url#4, puppeteer_HL, 2024-07-24T12:44:17.081Z, 745, 0, 10059, 10059, 3830
CRAWLED, url#4, puppeteer, 2024-07-24T12:44:17.103Z, 1215, 0, 10081, 10081, 3830
CRAWLED, url#4, OpenWPM, 2024-07-24T12:44:13.295Z, 5479, 0, 6273, 6273, 3830
CRAWLED, url#4, OpenWPM_HL, 2024-07-24T12:44:13.273Z, 4258, 0, 6251, 6251, 3830
CRAWLED, url#5, puppeteer_HL, 2024-07-24T12:44:51.698Z, 756, 0, 15205, 15205, 8703
CRAWLED, url#5, puppeteer, 2024-07-24T12:44:50.572Z, 1364, 0, 14079, 14079, 8703
CRAWLED, url#5, OpenWPM, 2024-07-24T12:44:43.158Z, 5674, 0, 6665, 6665, 8703
CRAWLED, url#5, OpenWPM_HL, 2024-07-24T12:44:42.995Z, 4561, 0, 6502, 6502, 8703
CRAWLED, url#6, puppeteer_HL, 2024-07-24T12:45:15.814Z, 1102, 0, 9517, 9517, 2915
CRAWLED, url#6, puppeteer, 2024-07-24T12:45:15.820Z, 1198, 0, 9523, 9523, 2915
CRAWLED, url#6, OpenWPM, 2024-07-24T12:45:12.905Z, 5901, 0, 6608, 6608, 2915
CRAWLED, url#6, OpenWPM_HL, 2024-07-24T12:45:13.141Z, 5177, 0, 6844, 6844, 2915
CRAWLED, url#7, puppeteer_HL, 2024-07-24T12:45:51.662Z, 825, 0, 10621, 10621, 4357
CRAWLED, url#7, puppeteer, 2024-07-24T12:45:51.689Z, 1124, 0, 10648, 10648, 4357
CRAWLED, url#7, OpenWPM, 2024-07-24T12:45:47.560Z, 5551, 0, 6519, 6519, 4357
CRAWLED, url#7, OpenWPM_HL, 2024-07-24T12:45:47.332Z, 4209, 0, 6291, 6291, 4357
CRAWLED, url#8, puppeteer_HL, 2024-07-24T12:46:34.040Z, 733, 0, 13543, 13543, 7483
CRAWLED, url#8, puppeteer, 2024-07-24T12:46:33.915Z, 1308, 0, 13418, 13418, 7483
CRAWLED, url#8, OpenWPM, 2024-07-24T12:46:26.733Z, 5158, 0, 6236, 6236, 7483
CRAWLED, url#8, OpenWPM_HL, 2024-07-24T12:46:26.557Z, 4286, 0, 6060, 6060, 7483
CRAWLED, url#9, puppeteer_HL, 2024-07-24T12:46:59.912Z, 974, 0, -1, undefined, 7006
CRAWLED, url#9, puppeteer, 2024-07-24T12:46:59.912Z, 1444, 0, -1, undefined, 7006
CRAWLED, url#9, OpenWPM, 2024-07-24T12:47:06.918Z, 6028, 0, 7005, 7005, 7006
CRAWLED, url#9, OpenWPM_HL, 2024-07-24T12:47:06.831Z, 4905, 0, 6918, 6918, 7006
CRAWLED, url#10, puppeteer_HL, 2024-07-24T12:47:20.075Z, 748, 0, -1, undefined, 6456
CRAWLED, url#10, puppeteer, 2024-07-24T12:47:20.075Z, 1010, 0, -1, undefined, 6456
CRAWLED, url#10, OpenWPM, 2024-07-24T12:47:26.497Z, 5510, 0, 6421, 6421, 6456
CRAWLED, url#10, OpenWPM_HL, 2024-07-24T12:47:26.531Z, 4323, 0, 6455, 6455, 6456
CRAWLED, url#11, puppeteer_HL, 2024-07-24T12:47:49.626Z, 1105, 0, -1, undefined, 6873
CRAWLED, url#11, puppeteer, 2024-07-24T12:47:49.626Z, 1405, 0, -1, undefined, 6873
CRAWLED, url#11, OpenWPM, 2024-07-24T12:47:56.432Z, 5984, 0, 6805, 6805, 6873
CRAWLED, url#11, OpenWPM_HL, 2024-07-24T12:47:56.499Z, 5282, 0, 6872, 6872, 6873
CRAWLED, url#12, puppeteer_HL, 2024-07-24T12:48:23.569Z, 694, 0, 13910, 13910, 8022
CRAWLED, url#12, puppeteer, 2024-07-24T12:48:23.821Z, 1235, 0, 14162, 14162, 8022
CRAWLED, url#12, OpenWPM, 2024-07-24T12:48:16.166Z, 5647, 0, 6507, 6507, 8022
CRAWLED, url#12, OpenWPM_HL, 2024-07-24T12:48:15.799Z, 4414, 0, 6140, 6140, 8022
CRAWLED, url#13, puppeteer_HL, 2024-07-24T12:48:59.662Z, 784, 0, 10701, 10701, 4440
CRAWLED, url#13, puppeteer, 2024-07-24T12:48:59.761Z, 945, 0, 10800, 10800, 4440
CRAWLED, url#13, OpenWPM, 2024-07-24T12:48:55.340Z, 5569, 0, 6379, 6379, 4440
CRAWLED, url#13, OpenWPM_HL, 2024-07-24T12:48:55.321Z, 4262, 0, 6360, 6360, 4440
CRAWLED, url#14, puppeteer_HL, 2024-07-24T12:49:37.890Z, 710, 0, 9398, 9398, 3164
CRAWLED, url#14, puppeteer, 2024-07-24T12:49:37.865Z, 1167, 0, 9373, 9373, 3164
CRAWLED, url#14, OpenWPM, 2024-07-24T12:49:34.726Z, 5420, 0, 6234, 6234, 3164
CRAWLED, url#14, OpenWPM_HL, 2024-07-24T12:49:35.154Z, 4179, 0, 6662, 6662, 3164
CRAWLED, url#15, puppeteer_HL, 2024-07-24T12:50:03.005Z, 786, 0, 9676, 9676, 3663
CRAWLED, url#15, puppeteer, 2024-07-24T12:50:03.336Z, 1156, 0, 10007, 10007, 3663
CRAWLED, url#15, OpenWPM, 2024-07-24T12:49:59.749Z, 5659, 0, 6420, 6420, 3663
CRAWLED, url#15, OpenWPM_HL, 2024-07-24T12:49:59.673Z, 4454, 0, 6344, 6344, 3663
CRAWLED, url#16, puppeteer_HL, 2024-07-24T12:50:32.057Z, 1129, 0, 9164, 9164, 2911
CRAWLED, url#16, puppeteer, 2024-07-24T12:50:32.067Z, 1438, 0, 9174, 9174, 2911
CRAWLED, url#16, OpenWPM, 2024-07-24T12:50:29.156Z, 5644, 0, 6263, 6263, 2911
CRAWLED, url#16, OpenWPM_HL, 2024-07-24T12:50:29.623Z, 4956, 0, 6730, 6730, 2911
CRAWLED, url#17, puppeteer_HL, 2024-07-24T12:50:58.243Z, 723, 0, 10444, 10444, 4074
CRAWLED, url#17, puppeteer, 2024-07-24T12:50:58.322Z, 1137, 0, 10523, 10523, 4074
CRAWLED, url#17, OpenWPM, 2024-07-24T12:50:54.252Z, 5566, 0, 6453, 6453, 4074
CRAWLED, url#17, OpenWPM_HL, 2024-07-24T12:50:54.248Z, 4298, 0, 6449, 6449, 4074
CRAWLED, url#18, puppeteer_HL, 2024-07-24T12:51:37.905Z, 835, 0, 10497, 10497, 4130
CRAWLED, url#18, puppeteer, 2024-07-24T12:51:38.037Z, 1401, 0, 10629, 10629, 4130
CRAWLED, url#18, OpenWPM, 2024-07-24T12:51:34.019Z, 5497, 0, 6611, 6611, 4130
CRAWLED, url#18, OpenWPM_HL, 2024-07-24T12:51:33.907Z, 4388, 0, 6499, 6499, 4130
CRAWLED, url#19, puppeteer_HL, 2024-07-24T12:52:10.158Z, 974, 0, 12989, 12989, 7412
CRAWLED, url#19, puppeteer, 2024-07-24T12:52:10.664Z, 1422, 0, 13495, 13495, 7412
CRAWLED, url#19, OpenWPM, 2024-07-24T12:52:03.755Z, 5866, 0, 6586, 6586, 7412
CRAWLED, url#19, OpenWPM_HL, 2024-07-24T12:52:03.252Z, 4752, 0, 6083, 6083, 7412
CRAWLED, url#20, puppeteer_HL, 2024-07-24T12:52:36.914Z, 623, 0, -1, undefined, 6693
CRAWLED, url#20, puppeteer, 2024-07-24T12:52:36.914Z, 1380, 0, -1, undefined, 6693
CRAWLED, url#20, OpenWPM, 2024-07-24T12:52:43.584Z, 5748, 0, 6669, 6669, 6693
CRAWLED, url#20, OpenWPM_HL, 2024-07-24T12:52:43.607Z, 4619, 0, 6692, 6692, 6693
CRAWLED, url#21, puppeteer_HL, 2024-07-24T12:52:56.842Z, 940, 0, -1, undefined, 6408
CRAWLED, url#21, puppeteer, 2024-07-24T12:52:56.842Z, 1339, 0, -1, undefined, 6408
CRAWLED, url#21, OpenWPM, 2024-07-24T12:53:02.855Z, 5422, 0, 6012, 6012, 6408
CRAWLED, url#21, OpenWPM_HL, 2024-07-24T12:53:03.250Z, 4203, 0, 6407, 6407, 6408
CRAWLED, url#22, puppeteer_HL, 2024-07-24T12:53:36.190Z, 873, 0, 9810, 9810, 3670
CRAWLED, url#22, puppeteer, 2024-07-24T12:53:36.110Z, 1159, 0, 9730, 9730, 3670
