STATUS  ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS  ,connected ,puppeteer    ,2024-07-23T17:38:52.832Z
STATUS  ,connected ,OpenWPM_HL   ,2024-07-23T17:39:16.321Z
STATUS  ,connected ,OpenWPM      ,2024-07-23T17:39:35.040Z
STATUS  ,connected ,puppeteer_HL ,2024-07-23T17:39:45.181Z
STATUS  ,ping      ,OpenWPM_HL   ,2024-07-23T17:39:45.183Z ,            1
STATUS  ,ping      ,puppeteer    ,2024-07-23T17:39:45.184Z ,            1.5
STATUS  ,ping      ,OpenWPM      ,2024-07-23T17:39:45.184Z ,            1.5
STATUS  ,ping      ,puppeteer_HL ,2024-07-23T17:39:45.184Z ,            1.5
CRAWLED ,url#1     ,puppeteer    ,2024-07-23T17:39:50.512Z ,         1545   ,             0 ,             1698 ,          3024 ,         7473
CRAWLED ,url#1     ,OpenWPM_HL   ,2024-07-23T17:39:57.749Z ,         7622   ,             0 ,             8935 ,          8918 ,         7473
CRAWLED ,url#1     ,OpenWPM      ,2024-07-23T17:39:56.466Z ,         6399   ,             0 ,             7652 ,          7626 ,         7473
CRAWLED ,url#1     ,puppeteer_HL ,2024-07-23T17:39:50.276Z ,         1011   ,             0 ,             1462 ,          2697 ,         7473
CRAWLED ,url#2     ,puppeteer    ,2024-07-23T17:40:25.839Z ,         1266   ,             0 ,             1705 ,          3073 ,         5757
CRAWLED ,url#2     ,OpenWPM_HL   ,2024-07-23T17:40:31.198Z ,         5483   ,             0 ,             7064 ,          7039 ,         5757
CRAWLED ,url#2     ,OpenWPM      ,2024-07-23T17:40:30.556Z ,         5943   ,             0 ,             6422 ,          6395 ,         5757
CRAWLED ,url#2     ,puppeteer_HL ,2024-07-23T17:40:25.441Z ,          761   ,             0 ,             1307 ,          2626 ,         5757
CRAWLED ,url#3     ,puppeteer    ,2024-07-23T17:40:51.151Z ,         1370   ,             0 ,             1786 ,          3136 ,         4998
CRAWLED ,url#3     ,OpenWPM_HL   ,2024-07-23T17:40:56.024Z ,         4970   ,             0 ,             6659 ,          6636 ,         4998
CRAWLED ,url#3     ,OpenWPM      ,2024-07-23T17:40:55.733Z ,         5845   ,             0 ,             6368 ,          6345 ,         4998
CRAWLED ,url#3     ,puppeteer_HL ,2024-07-23T17:40:51.026Z ,         1038   ,             0 ,             1661 ,          3019 ,         4998
CRAWLED ,url#4     ,puppeteer    ,2024-07-23T17:41:26.117Z ,         1634   ,             0 ,             1949 ,          3290 ,         6131
CRAWLED ,url#4     ,OpenWPM_HL   ,2024-07-23T17:41:31.451Z ,         5507   ,             0 ,             7283 ,          7265 ,         6131
CRAWLED ,url#4     ,OpenWPM      ,2024-07-23T17:41:31.051Z ,         6178   ,             0 ,             6883 ,          6879 ,         6131
CRAWLED ,url#4     ,puppeteer_HL ,2024-07-23T17:41:25.320Z ,          800   ,             0 ,             1152 ,          2436 ,         6131
CRAWLED ,url#5     ,puppeteer    ,2024-07-23T17:42:01.139Z ,         1584   ,             0 ,             1966 ,          3304 ,         6104
CRAWLED ,url#5     ,OpenWPM_HL   ,2024-07-23T17:42:05.877Z ,         4971   ,             0 ,             6704 ,          6681 ,         6104
CRAWLED ,url#5     ,OpenWPM      ,2024-07-23T17:42:06.276Z ,         6424   ,             0 ,             7103 ,          7082 ,         6104
CRAWLED ,url#5     ,puppeteer_HL ,2024-07-23T17:42:00.172Z ,          727   ,             0 ,              999 ,          2371 ,         6104
CRAWLED ,url#6     ,puppeteer    ,2024-07-23T17:42:25.989Z ,         1236   ,             0 ,             1591 ,          2917 ,         5539
CRAWLED ,url#6     ,OpenWPM_HL   ,2024-07-23T17:42:31.200Z ,         4691   ,             0 ,             6802 ,          6675 ,         5539
CRAWLED ,url#6     ,OpenWPM      ,2024-07-23T17:42:31.194Z ,         6070   ,             0 ,             6796 ,          6749 ,         5539
CRAWLED ,url#6     ,puppeteer_HL ,2024-07-23T17:42:25.661Z ,          681   ,             0 ,             1263 ,          2627 ,         5539
CRAWLED ,url#7     ,puppeteer    ,2024-07-23T17:43:00.921Z ,         1225   ,             0 ,             1606 ,          2930 ,         5264
CRAWLED ,url#7     ,OpenWPM_HL   ,2024-07-23T17:43:05.723Z ,         5095   ,             0 ,             6408 ,          6389 ,         5264
