STATUS  ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS  ,connected ,OpenWPM      ,2024-07-25T19:40:27.325Z
STATUS  ,connected ,puppeteer    ,2024-07-25T19:40:28.257Z
STATUS  ,connected ,OpenWPM_HL   ,2024-07-25T19:40:29.034Z
STATUS  ,connected ,puppeteer_HL ,2024-07-25T19:40:30.967Z
STATUS  ,ping      ,puppeteer    ,2024-07-25T19:40:30.971Z ,            1.5
STATUS  ,ping      ,OpenWPM      ,2024-07-25T19:40:30.972Z ,            2
STATUS  ,ping      ,puppeteer_HL ,2024-07-25T19:40:30.972Z ,            2
STATUS  ,ping      ,OpenWPM_HL   ,2024-07-25T19:40:30.973Z ,            2.5
CRAWLED ,url#1     ,OpenWPM      ,2024-07-25T19:40:54.768Z ,         7187   ,             0 ,             7433 ,          7396 ,         5762
CRAWLED ,url#1     ,puppeteer    ,2024-07-25T19:40:49.192Z ,         1443   ,             0 ,             1857 ,          3145 ,         5762
CRAWLED ,url#1     ,OpenWPM_HL   ,2024-07-25T19:40:54.954Z ,         5863   ,             0 ,             7619 ,          7575 ,         5762
CRAWLED ,url#1     ,puppeteer_HL ,2024-07-25T19:40:49.771Z ,         1819   ,             0 ,             2436 ,          3815 ,         5762
CRAWLED ,url#2     ,OpenWPM      ,2024-07-25T19:41:19.600Z ,         5579   ,             0 ,             6543 ,          6495 ,         5027
CRAWLED ,url#2     ,puppeteer    ,2024-07-25T19:41:14.790Z ,         1337   ,             0 ,             1733 ,          3026 ,         5027
CRAWLED ,url#2     ,OpenWPM_HL   ,2024-07-25T19:41:19.168Z ,         4098   ,             0 ,             6111 ,          6054 ,         5027
CRAWLED ,url#2     ,puppeteer_HL ,2024-07-25T19:41:14.573Z ,          865   ,             0 ,             1516 ,          2848 ,         5027
CRAWLED ,url#3     ,OpenWPM      ,2024-07-25T19:41:54.055Z ,         5782   ,             0 ,             6330 ,          6290 ,         4988
CRAWLED ,url#3     ,puppeteer    ,2024-07-25T19:41:49.298Z ,         1224   ,             0 ,             1573 ,          2871 ,         4988
CRAWLED ,url#3     ,OpenWPM_HL   ,2024-07-25T19:41:54.158Z ,         4322   ,             0 ,             6433 ,          6395 ,         4988
CRAWLED ,url#3     ,puppeteer_HL ,2024-07-25T19:41:49.170Z ,          926   ,             0 ,             1445 ,          2746 ,         4988
CRAWLED ,url#4     ,OpenWPM      ,2024-07-25T19:42:28.695Z ,         6059   ,             0 ,             6538 ,          6514 ,         4626
CRAWLED ,url#4     ,puppeteer    ,2024-07-25T19:42:24.356Z ,         1782   ,             0 ,             2199 ,          3481 ,         4626
