STATUS  ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS  ,connected ,puppeteer    ,2024-07-25T15:10:26.519Z
STATUS  ,connected ,OpenWPM      ,2024-07-25T15:10:28.017Z
STATUS  ,connected ,OpenWPM_HL   ,2024-07-25T15:10:28.230Z
STATUS  ,connected ,puppeteer_HL ,2024-07-25T15:10:30.628Z
STATUS  ,ping      ,puppeteer    ,2024-07-25T15:10:30.635Z ,            3
STATUS  ,ping      ,OpenWPM      ,2024-07-25T15:10:30.637Z ,            3.5
STATUS  ,ping      ,OpenWPM_HL   ,2024-07-25T15:10:30.638Z ,            4
STATUS  ,ping      ,puppeteer_HL ,2024-07-25T15:10:30.639Z ,            5
CRAWLED ,url#1     ,puppeteer    ,2024-07-25T15:10:48.627Z ,         1327   ,             0 ,             6463 ,          6504 ,          255
CRAWLED ,url#1     ,OpenWPM      ,2024-07-25T15:10:48.593Z ,         5606   ,             0 ,             6429 ,          6393 ,          255
CRAWLED ,url#1     ,OpenWPM_HL   ,2024-07-25T15:10:48.848Z ,         4518   ,             0 ,             6684 ,          6659 ,          255
CRAWLED ,url#1     ,puppeteer_HL ,2024-07-25T15:10:48.632Z ,          920   ,             0 ,             6468 ,          6514 ,          255
CRAWLED ,url#2     ,puppeteer    ,2024-07-25T15:11:14.040Z ,         1595   ,             0 ,             7044 ,          7083 ,          300
CRAWLED ,url#2     ,OpenWPM      ,2024-07-25T15:11:13.742Z ,         6188   ,             0 ,             6746 ,          6717 ,          300
CRAWLED ,url#2     ,OpenWPM_HL   ,2024-07-25T15:11:13.970Z ,         4999   ,             0 ,             6974 ,          6942 ,          300
CRAWLED ,url#2     ,puppeteer_HL ,2024-07-25T15:11:14.042Z ,         1394   ,             0 ,             7046 ,          7097 ,          300
CRAWLED ,url#3     ,puppeteer    ,2024-07-25T15:11:38.596Z ,         1112   ,             0 ,             6490 ,          6542 ,          126
CRAWLED ,url#3     ,OpenWPM      ,2024-07-25T15:11:38.470Z ,         5629   ,             0 ,             6364 ,          6330 ,          126
CRAWLED ,url#3     ,OpenWPM_HL   ,2024-07-25T15:11:38.557Z ,         4301   ,             0 ,             6451 ,          6424 ,          126
