STATUS  ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS  ,connected ,puppeteer_HL ,2024-07-25T17:17:52.786Z
STATUS  ,connected ,puppeteer    ,2024-07-25T17:17:59.891Z
STATUS  ,connected ,OpenWPM      ,2024-07-25T17:18:07.854Z
STATUS  ,connected ,OpenWPM_HL   ,2024-07-25T17:18:16.147Z
STATUS  ,ping      ,puppeteer_HL ,2024-07-25T17:18:16.149Z ,            1
STATUS  ,ping      ,OpenWPM      ,2024-07-25T17:18:16.150Z ,            1.5
STATUS  ,ping      ,puppeteer    ,2024-07-25T17:18:16.150Z ,            1.5
STATUS  ,ping      ,OpenWPM_HL   ,2024-07-25T17:18:16.151Z ,            1.5
CRAWLED ,url#1     ,puppeteer_HL ,2024-07-25T17:18:26.660Z ,          938   ,             0 ,             6547 ,          6598 ,          912
CRAWLED ,url#1     ,puppeteer    ,2024-07-25T17:18:26.665Z ,         1266   ,             0 ,             6552 ,          6587 ,          912
CRAWLED ,url#1     ,OpenWPM      ,2024-07-25T17:18:27.572Z ,         6539   ,             0 ,             7459 ,          7391 ,          912
CRAWLED ,url#1     ,OpenWPM_HL   ,2024-07-25T17:18:27.498Z ,         5052   ,             0 ,             7385 ,          7368 ,          912
CRAWLED ,url#2     ,puppeteer_HL ,2024-07-25T17:19:01.570Z ,         1049   ,             0 ,             5900 ,          5941 ,         1050
CRAWLED ,url#2     ,puppeteer    ,2024-07-25T17:19:01.574Z ,         1639   ,             0 ,             5904 ,          5979 ,         1050
CRAWLED ,url#2     ,OpenWPM      ,2024-07-25T17:19:02.620Z ,         5892   ,             0 ,             6950 ,          6933 ,         1050
CRAWLED ,url#2     ,OpenWPM_HL   ,2024-07-25T17:19:02.025Z ,         4331   ,             0 ,             6355 ,          6273 ,         1050
CRAWLED ,url#3     ,puppeteer_HL ,2024-07-25T17:19:36.320Z ,         1069   ,             0 ,             5542 ,          5615 ,         1028
CRAWLED ,url#3     ,puppeteer    ,2024-07-25T17:19:36.325Z ,         1264   ,             0 ,             5547 ,          5611 ,         1028
CRAWLED ,url#3     ,OpenWPM      ,2024-07-25T17:19:36.939Z ,         5534   ,             0 ,             6161 ,          6110 ,         1028
CRAWLED ,url#3     ,OpenWPM_HL   ,2024-07-25T17:19:37.348Z ,         4906   ,             0 ,             6570 ,          6525 ,         1028
CRAWLED ,url#4     ,puppeteer_HL ,2024-07-25T17:20:01.526Z ,         1146   ,             0 ,             6060 ,          6097 ,          570
CRAWLED ,url#4     ,puppeteer    ,2024-07-25T17:20:01.529Z ,         1240   ,             0 ,             6063 ,          6111 ,          570
CRAWLED ,url#4     ,OpenWPM      ,2024-07-25T17:20:02.057Z ,         6054   ,             0 ,             6591 ,          6550 ,          570
CRAWLED ,url#4     ,OpenWPM_HL   ,2024-07-25T17:20:02.096Z ,         4535   ,             0 ,             6630 ,          6545 ,          570
CRAWLED ,url#5     ,puppeteer_HL ,2024-07-25T17:20:36.007Z ,         1070   ,             0 ,             5831 ,          5871 ,          839
CRAWLED ,url#5     ,puppeteer    ,2024-07-25T17:20:36.015Z ,         1216   ,             0 ,             5839 ,          5883 ,          839
CRAWLED ,url#5     ,OpenWPM      ,2024-07-25T17:20:36.846Z ,         5824   ,             0 ,             6670 ,          6625 ,          839
CRAWLED ,url#5     ,OpenWPM_HL   ,2024-07-25T17:20:36.481Z ,         4312   ,             0 ,             6305 ,          6261 ,          839
CRAWLED ,url#6     ,puppeteer_HL ,2024-07-25T17:21:10.350Z ,          715   ,             0 ,             5736 ,          5788 ,          798
CRAWLED ,url#6     ,puppeteer    ,2024-07-25T17:21:10.352Z ,         1177   ,             0 ,             5738 ,          5784 ,          798
CRAWLED ,url#6     ,OpenWPM      ,2024-07-25T17:21:11.148Z ,         5729   ,             0 ,             6534 ,          6490 ,          798
CRAWLED ,url#6     ,OpenWPM_HL   ,2024-07-25T17:21:10.792Z ,         4169   ,             0 ,             6178 ,          6146 ,          798
CRAWLED ,url#7     ,puppeteer_HL ,2024-07-25T17:21:35.466Z ,          876   ,             0 ,             6198 ,          6257 ,          705
CRAWLED ,url#7     ,puppeteer    ,2024-07-25T17:21:35.468Z ,         1218   ,             0 ,             6200 ,          6250 ,          705
CRAWLED ,url#7     ,OpenWPM      ,2024-07-25T17:21:36.024Z ,         6186   ,             0 ,             6756 ,          6720 ,          705
CRAWLED ,url#7     ,OpenWPM_HL   ,2024-07-25T17:21:36.171Z ,         4796   ,             0 ,             6903 ,          6867 ,          705
CRAWLED ,url#8     ,puppeteer_HL ,2024-07-25T17:22:00.646Z ,          683   ,             0 ,             6357 ,          6391 ,          647
CRAWLED ,url#8     ,puppeteer    ,2024-07-25T17:22:00.655Z ,         1080   ,             0 ,             6366 ,          6408 ,          647
CRAWLED ,url#8     ,OpenWPM      ,2024-07-25T17:22:01.276Z ,         6349   ,             0 ,             6987 ,          6941 ,          647
CRAWLED ,url#8     ,OpenWPM_HL   ,2024-07-25T17:22:01.293Z ,         4810   ,             0 ,             7004 ,          6948 ,          647
CRAWLED ,url#9     ,puppeteer_HL ,2024-07-25T17:22:25.539Z ,          790   ,             0 ,             6060 ,          6100 ,          814
CRAWLED ,url#9     ,puppeteer    ,2024-07-25T17:22:25.554Z ,         1119   ,             0 ,             6075 ,          6136 ,          814
CRAWLED ,url#9     ,OpenWPM      ,2024-07-25T17:22:26.353Z ,         6054   ,             0 ,             6874 ,          6822 ,          814
CRAWLED ,url#9     ,OpenWPM_HL   ,2024-07-25T17:22:26.239Z ,         4703   ,             0 ,             6760 ,          6729 ,          814
CRAWLED ,url#10    ,puppeteer_HL ,2024-07-25T17:22:50.384Z ,          769   ,             0 ,             5910 ,          5957 ,          832
CRAWLED ,url#10    ,puppeteer    ,2024-07-25T17:22:50.393Z ,         1203   ,             0 ,             5919 ,          5981 ,          832
CRAWLED ,url#10    ,OpenWPM      ,2024-07-25T17:22:51.216Z ,         5903   ,             0 ,             6742 ,          6691 ,          832
CRAWLED ,url#10    ,OpenWPM_HL   ,2024-07-25T17:22:50.909Z ,         4459   ,             0 ,             6435 ,          6408 ,          832
CRAWLED ,url#11    ,puppeteer_HL ,2024-07-25T17:23:15.255Z ,          899   ,             0 ,             5952 ,          5994 ,          877
CRAWLED ,url#11    ,puppeteer    ,2024-07-25T17:23:15.256Z ,         1649   ,             0 ,             5953 ,          5993 ,          877
CRAWLED ,url#11    ,OpenWPM      ,2024-07-25T17:23:16.132Z ,         5943   ,             0 ,             6829 ,          6800 ,          877
CRAWLED ,url#11    ,OpenWPM_HL   ,2024-07-25T17:23:15.806Z ,         4501   ,             0 ,             6503 ,          6458 ,          877
CRAWLED ,url#12    ,puppeteer_HL ,2024-07-25T17:23:40.056Z ,          941   ,             0 ,             5783 ,          5849 ,          756
CRAWLED ,url#12    ,puppeteer    ,2024-07-25T17:23:40.069Z ,         1279   ,             0 ,             5796 ,          5872 ,          756
CRAWLED ,url#12    ,OpenWPM      ,2024-07-25T17:23:40.812Z ,         5775   ,             0 ,             6539 ,          6470 ,          756
CRAWLED ,url#12    ,OpenWPM_HL   ,2024-07-25T17:23:40.475Z ,         4453   ,             0 ,             6202 ,          6151 ,          756
CRAWLED ,url#13    ,puppeteer_HL ,2024-07-25T17:24:14.187Z ,          635   ,             0 ,             5632 ,          5696 ,         1118
CRAWLED ,url#13    ,puppeteer    ,2024-07-25T17:24:14.191Z ,         1035   ,             0 ,             5636 ,          5665 ,         1118
CRAWLED ,url#13    ,OpenWPM      ,2024-07-25T17:24:15.198Z ,         5623   ,             0 ,             6643 ,          6604 ,         1118
CRAWLED ,url#13    ,OpenWPM_HL   ,2024-07-25T17:24:15.305Z ,         4389   ,             0 ,             6750 ,          6707 ,         1118
CRAWLED ,url#14    ,puppeteer_HL ,2024-07-25T17:24:39.328Z ,          935   ,             0 ,             5904 ,          6002 ,          951
CRAWLED ,url#14    ,puppeteer    ,2024-07-25T17:24:39.331Z ,         1118   ,             0 ,             5907 ,          5960 ,          951
CRAWLED ,url#14    ,OpenWPM      ,2024-07-25T17:24:40.279Z ,         5895   ,             0 ,             6855 ,          6795 ,          951
CRAWLED ,url#14    ,OpenWPM_HL   ,2024-07-25T17:24:40.215Z ,         4622   ,             0 ,             6791 ,          6747 ,          951
CRAWLED ,url#15    ,puppeteer_HL ,2024-07-25T17:25:03.887Z ,         1100   ,             0 ,             5466 ,          5505 ,          978
CRAWLED ,url#15    ,puppeteer    ,2024-07-25T17:25:03.888Z ,         1518   ,             0 ,             5467 ,          5517 ,          978
CRAWLED ,url#15    ,OpenWPM      ,2024-07-25T17:25:04.865Z ,         5459   ,             0 ,             6444 ,          6405 ,          978
CRAWLED ,url#15    ,OpenWPM_HL   ,2024-07-25T17:25:04.615Z ,         4401   ,             0 ,             6194 ,          6150 ,          978
CRAWLED ,url#16    ,puppeteer_HL ,2024-07-25T17:25:28.561Z ,          698   ,             0 ,             5575 ,          5627 ,          951
CRAWLED ,url#16    ,puppeteer    ,2024-07-25T17:25:28.566Z ,         1364   ,             0 ,             5580 ,          5633 ,          951
CRAWLED ,url#16    ,OpenWPM      ,2024-07-25T17:25:29.512Z ,         5569   ,             0 ,             6526 ,          6501 ,          951
CRAWLED ,url#16    ,OpenWPM_HL   ,2024-07-25T17:25:29.210Z ,         4253   ,             0 ,             6224 ,          6192 ,          951
