CLIENT,READY AFTER(MS),REQUEST AFTER(MS),AVERAGE_DIFFERENCE,STD_DEV_DIFFERENCE,FILENAME
 OpenWPM,5709.66,6571.17,861.51,211.37880664577023,TESTCRAWL1_2024-07-25.csv
 OpenWPM_HL,4491.51,6556.24,846.58,227.11493908493904,TESTCRAWL1_2024-07-25.csv
 puppeteer,1236.93,6570.87,861.21,10.768730452358607,TESTCRAWL1_2024-07-25.csv
 puppeteer_HL,880.04,6569.28,859.62,9.559785298294868,TESTCRAWL1_2024-07-25.csv
 OpenWPM,5728.59,6545.16,816.57,157.1095130503213,TESTCRAWL2_2024-07-25.csv
 OpenWPM_HL,4496.21,6544.91,816.32,219.9740517296153,TESTCRAWL2_2024-07-25.csv
 puppeteer,1256.61,5740.0,11.41,3.629550435472191,TESTCRAWL2_2024-07-25.csv
 puppeteer_HL,859.81,5737.89,9.3,3.857303187304295,TESTCRAWL2_2024-07-25.csv
 OpenWPM,5730.91,6548.32,817.41,171.42746470902978,TESTCRAWL_2024-07-25.csv
 OpenWPM_HL,4507.37,6531.72,800.81,218.49002912783646,TESTCRAWL_2024-07-25.csv
 puppeteer,1264.62,5742.88,11.97,6.426672639252852,TESTCRAWL_2024-07-25.csv
 puppeteer_HL,865.13,5740.43,9.52,3.625053116991542,TESTCRAWL_2024-07-25.csv
 OpenWPM,5.72,6.55,0.83,0.18,Overall_Average
 OpenWPM_HL,4.5,6.54,0.82,0.22,Overall_Average
 puppeteer,1.25,6.02,0.29,0.01,Overall_Average
 puppeteer_HL,0.87,6.02,0.29,0.01,Overall_Average
