STATUS      ,ITERATION ,CLIENT       ,DATE                     ,READY AFTER(MS) ,WATINGTIME(MS) ,REQUEST AFTER(MS) ,DONE AFTER(MS) ,MAX DELAY(MS)
STATUS      ,connected ,OpenWPM      ,2024-07-24T18:52:47.555Z
STATUS      ,connected ,puppeteer    ,2024-07-24T18:52:48.788Z
STATUS      ,connected ,OpenWPM_HL   ,2024-07-24T18:52:48.812Z
STATUS      ,connected ,puppeteer_HL ,2024-07-24T18:52:49.390Z
STATUS      ,ping      ,puppeteer_HL ,2024-07-24T18:52:49.399Z ,            4
STATUS      ,ping      ,OpenWPM      ,2024-07-24T18:52:49.401Z ,            5
STATUS      ,ping      ,OpenWPM_HL   ,2024-07-24T18:52:49.403Z ,            5.5
STATUS      ,ping      ,puppeteer    ,2024-07-24T18:52:49.404Z ,            6
CALIBRATION ,#0        ,OpenWPM      ,2024-07-24T18:52:57.354Z ,         5441   ,             0 ,             6345 ,          6327 ,          893
CALIBRATION ,#0        ,puppeteer    ,2024-07-24T18:52:56.461Z ,         1188   ,             0 ,             5452 ,          5479 ,          893
CALIBRATION ,#0        ,OpenWPM_HL   ,2024-07-24T18:52:57.190Z ,         4522   ,             0 ,             6181 ,          6164 ,          893
CALIBRATION ,#0        ,puppeteer_HL ,2024-07-24T18:52:56.465Z ,          734   ,             0 ,             5456 ,          5505 ,          893
CALIBRATION ,#1        ,OpenWPM      ,2024-07-24T18:53:31.556Z ,         5393   ,             0 ,             6251 ,          6213 ,          853
CALIBRATION ,#1        ,puppeteer    ,2024-07-24T18:53:30.711Z ,         1149   ,             0 ,             5406 ,          5447 ,          853
CALIBRATION ,#1        ,OpenWPM_HL   ,2024-07-24T18:53:31.557Z ,         3989   ,             0 ,             6252 ,          6228 ,          853
CALIBRATION ,#1        ,puppeteer_HL ,2024-07-24T18:53:30.704Z ,          770   ,             0 ,             5399 ,          5433 ,          853
CALIBRATION ,#2        ,OpenWPM      ,2024-07-24T18:54:06.042Z ,         5966   ,             0 ,             6370 ,          6348 ,          462
CALIBRATION ,#2        ,puppeteer    ,2024-07-24T18:54:05.651Z ,         1594   ,             0 ,             5979 ,          6025 ,          462
CALIBRATION ,#2        ,OpenWPM_HL   ,2024-07-24T18:54:06.107Z ,         4431   ,             0 ,             6435 ,          6416 ,          462
CALIBRATION ,#2        ,puppeteer_HL ,2024-07-24T18:54:05.645Z ,          862   ,             0 ,             5973 ,          6017 ,          462
CALIBRATION ,#3        ,OpenWPM      ,2024-07-24T18:54:30.661Z ,         5559   ,             0 ,             6403 ,          6382 ,          839
