STATUS, ITERATION, CLIENT, DATE, READY AFTER(MS), WATINGTIME(MS), REQUEST AFTER(MS), DONE AFTER(MS), MAX DELAY(MS)
STATUS, connected, puppeteer_HL, 2024-07-25T08:44:40.638Z
STATUS, connected, puppeteer, 2024-07-25T08:44:48.390Z
STATUS, connected, OpenWPM, 2024-07-25T08:44:55.581Z
STATUS, connected, OpenWPM_HL, 2024-07-25T08:45:02.479Z
STATUS, ping, OpenWPM, 2024-07-25T08:45:02.481Z, 1
STATUS, ping, puppeteer, 2024-07-25T08:45:02.481Z, 1
STATUS, ping, puppeteer_HL, 2024-07-25T08:45:02.482Z, 1.5
STATUS, ping, OpenWPM_HL, 2024-07-25T08:45:02.483Z, 2
CALIBRATION, #0,puppeteer_HL,2024-07-25T08:45:11.978Z, 995, 0, 6260, 6300, 858
CALIBRATION, #0,puppeteer,2024-07-25T08:45:11.975Z, 1425, 0, 6257, 6294, 858
CALIBRATION, #0,OpenWPM,2024-07-25T08:45:12.804Z, 6248, 0, 7086, 7047, 858
CALIBRATION, #0,OpenWPM_HL,2024-07-25T08:45:12.833Z, 4816, 0, 7115, 7068, 858
CALIBRATION, #1,puppeteer_HL,2024-07-25T08:45:36.862Z, 608, 0, 5794, 5841, 857
CALIBRATION, #1,puppeteer,2024-07-25T08:45:36.866Z, 1353, 0, 5798, 5840, 857
CALIBRATION, #1,OpenWPM,2024-07-25T08:45:37.719Z, 5786, 0, 6651, 6625, 857
CALIBRATION, #1,OpenWPM_HL,2024-07-25T08:45:37.299Z, 4313, 0, 6231, 6213, 857
CALIBRATION, #2,puppeteer_HL,2024-07-25T08:46:01.605Z, 631, 0, 5765, 5793, 862
CALIBRATION, #2,puppeteer,2024-07-25T08:46:01.613Z, 1462, 0, 5773, 5820, 862
CALIBRATION, #2,OpenWPM,2024-07-25T08:46:02.467Z, 5758, 0, 6627, 6580, 862
CALIBRATION, #2,OpenWPM_HL,2024-07-25T08:46:02.372Z, 4387, 0, 6532, 6510, 862
CALIBRATION, #3,puppeteer_HL,2024-07-25T08:46:26.454Z, 660, 0, 5878, 5924, 609
CALIBRATION, #3,puppeteer,2024-07-25T08:46:26.457Z, 1129, 0, 5881, 5929, 609
CALIBRATION, #3,OpenWPM,2024-07-25T08:46:27.063Z, 5872, 0, 6487, 6445, 609
CALIBRATION, #3,OpenWPM_HL,2024-07-25T08:46:26.969Z, 4438, 0, 6393, 6369, 609
CALIBRATION, #4,puppeteer_HL,2024-07-25T08:47:01.301Z, 1136, 0, 6140, 6197, 804
CALIBRATION, #4,puppeteer,2024-07-25T08:47:01.309Z, 1073, 0, 6148, 6190, 804
CALIBRATION, #4,OpenWPM,2024-07-25T08:47:02.020Z, 6133, 0, 6859, 6836, 804
CALIBRATION, #4,OpenWPM_HL,2024-07-25T08:47:02.105Z, 5006, 0, 6944, 6921, 804
CALIBRATION, #5,puppeteer_HL,2024-07-25T08:47:26.542Z, 1005, 0, 6256, 6296, 883
CALIBRATION, #5,puppeteer,2024-07-25T08:47:26.547Z, 1304, 0, 6261, 6326, 883
CALIBRATION, #5,OpenWPM,2024-07-25T08:47:27.288Z, 6247, 0, 7002, 6981, 883
CALIBRATION, #5,OpenWPM_HL,2024-07-25T08:47:27.425Z, 5017, 0, 7139, 7113, 883
CALIBRATION, #6,puppeteer_HL,2024-07-25T08:47:51.596Z, 595, 0, 6056, 6090, 735
CALIBRATION, #6,puppeteer,2024-07-25T08:47:51.607Z, 1489, 0, 6067, 6098, 735
CALIBRATION, #6,OpenWPM,2024-07-25T08:47:52.211Z, 6049, 0, 6671, 6640, 735
CALIBRATION, #6,OpenWPM_HL,2024-07-25T08:47:52.331Z, 4530, 0, 6791, 6772, 735
CALIBRATION, #7,puppeteer_HL,2024-07-25T08:48:16.557Z, 726, 0, 6102, 6146, 724
CALIBRATION, #7,puppeteer,2024-07-25T08:48:16.563Z, 1321, 0, 6108, 6154, 724
CALIBRATION, #7,OpenWPM,2024-07-25T08:48:17.281Z, 6095, 0, 6826, 6806, 724
CALIBRATION, #7,OpenWPM_HL,2024-07-25T08:48:16.732Z, 4481, 0, 6277, 6250, 724
CALIBRATION, #8,puppeteer_HL,2024-07-25T08:48:41.076Z, 663, 0, 5638, 5681, 729
CALIBRATION, #8,puppeteer,2024-07-25T08:48:41.078Z, 1101, 0, 5640, 5688, 729
CALIBRATION, #8,OpenWPM,2024-07-25T08:48:41.805Z, 5629, 0, 6367, 6315, 729
