STATUS, ITERATION, CLIENT, DATE, READY AFTER(MS), WATINGTIME(MS), REQUEST AFTER(MS), DONE AFTER(MS), MAX DELAY(MS)
STATUS, connected, puppeteer, 2024-07-25T07:29:44.328Z
STATUS, connected, OpenWPM_HL, 2024-07-25T07:29:44.527Z
STATUS, connected, OpenWPM, 2024-07-25T07:29:47.084Z
STATUS, connected, puppeteer_HL, 2024-07-25T07:29:49.472Z
STATUS, ping, puppeteer, 2024-07-25T07:29:49.475Z, 1
STATUS, ping, OpenWPM_HL, 2024-07-25T07:29:49.475Z, 1
STATUS, ping, OpenWPM, 2024-07-25T07:29:49.476Z, 1.5
STATUS, ping, puppeteer_HL, 2024-07-25T07:29:49.476Z, 1.5
CALIBRATION, #0,puppeteer,2024-07-25T07:29:58.351Z, 1765, 0, 6567, 6626, 894
CALIBRATION, #0,OpenWPM_HL,2024-07-25T07:29:59.042Z, 5045, 0, 7258, 7240, 894
CALIBRATION, #0,OpenWPM,2024-07-25T07:29:59.245Z, 6556, 0, 7461, 7432, 894
CALIBRATION, #0,puppeteer_HL,2024-07-25T07:29:58.354Z, 1175, 0, 6570, 6607, 894
CALIBRATION, #1,puppeteer,2024-07-25T07:30:22.955Z, 1144, 0, 5559, 5596, 993
CALIBRATION, #1,OpenWPM_HL,2024-07-25T07:30:23.695Z, 4344, 0, 6299, 6280, 993
CALIBRATION, #1,OpenWPM,2024-07-25T07:30:23.946Z, 5549, 0, 6550, 6530, 993
CALIBRATION, #1,puppeteer_HL,2024-07-25T07:30:22.953Z, 736, 0, 5557, 5614, 993
CALIBRATION, #2,puppeteer,2024-07-25T07:30:47.700Z, 1065, 0, 5603, 5659, 903
CALIBRATION, #2,OpenWPM_HL,2024-07-25T07:30:48.599Z, 4378, 0, 6502, 6481, 903
CALIBRATION, #2,OpenWPM,2024-07-25T07:30:48.497Z, 5592, 0, 6400, 6381, 903
CALIBRATION, #2,puppeteer_HL,2024-07-25T07:30:47.696Z, 719, 0, 5599, 5639, 903
CALIBRATION, #3,puppeteer,2024-07-25T07:31:12.845Z, 1555, 0, 6103, 6146, 836
CALIBRATION, #3,OpenWPM_HL,2024-07-25T07:31:13.010Z, 4454, 0, 6268, 6248, 836
CALIBRATION, #3,OpenWPM,2024-07-25T07:31:13.669Z, 6085, 0, 6927, 6903, 836
CALIBRATION, #3,puppeteer_HL,2024-07-25T07:31:12.833Z, 820, 0, 6091, 6137, 836
CALIBRATION, #4,puppeteer,2024-07-25T07:31:46.861Z, 1248, 0, 5737, 5778, 742
CALIBRATION, #4,OpenWPM_HL,2024-07-25T07:31:47.286Z, 4035, 0, 6162, 6139, 742
CALIBRATION, #4,OpenWPM,2024-07-25T07:31:47.590Z, 5717, 0, 6466, 6428, 742
CALIBRATION, #4,puppeteer_HL,2024-07-25T07:31:46.848Z, 850, 0, 5724, 5766, 742
CALIBRATION, #5,puppeteer,2024-07-25T07:32:11.349Z, 996, 0, 5666, 5702, 934
CALIBRATION, #5,OpenWPM_HL,2024-07-25T07:32:12.276Z, 4217, 0, 6593, 6572, 934
CALIBRATION, #5,OpenWPM,2024-07-25T07:32:12.087Z, 5650, 0, 6404, 6379, 934
CALIBRATION, #5,puppeteer_HL,2024-07-25T07:32:11.342Z, 622, 0, 5659, 5735, 934
CALIBRATION, #6,puppeteer,2024-07-25T07:32:46.523Z, 1236, 0, 6091, 6148, 695
CALIBRATION, #6,OpenWPM_HL,2024-07-25T07:32:47.141Z, 4433, 0, 6709, 6691, 695
CALIBRATION, #6,OpenWPM,2024-07-25T07:32:47.218Z, 6082, 0, 6786, 6736, 695
CALIBRATION, #6,puppeteer_HL,2024-07-25T07:32:46.524Z, 975, 0, 6092, 6145, 695
CALIBRATION, #7,puppeteer,2024-07-25T07:33:21.425Z, 960, 0, 6109, 6158, 777
